2017 다모아 빅데이터 기관정보 (부산),,,,,,,,,
번호,강좌지역,기관유형,기관분류,기관명,주소(도로명),대표전화,홈페이지,상태,비고
59,부산광역시 ,공공,주민자치기관,전포제2동 주민센터,부산광역시 부산진구 동성로118번길 34,051-605-4909,https://jumin.busan.go.kr/dong/jeonpo2/main/main.jsp,,
60,부산광역시 ,공공,주민자치기관,부암제1동 주민센터,부산광역시 부산진구 신천대로241번길 41,051-605-4911,https://jumin.busan.go.kr/dong/buam1/main/main.jsp,,
61,부산광역시 ,공공,주민자치기관,부암제3동 주민센터,부산광역시 부산진구 백양순환로110번길 25,051-605-4912,https://jumin.busan.go.kr/dong/buam3/main/main.jsp,,
62,부산광역시 ,공공,주민자치기관,당감제1동 주민센터,부산광역시 부산진구 동평로44번길 49-6,051-605-4913,https://jumin.busan.go.kr/dong/danggam1/main/main.jsp,,
63,부산광역시 ,공공,주민자치기관,당감제2동 주민센터,부산광역시 부산진구 가야대로703번길 13,051-605-4914,https://jumin.busan.go.kr/dong/danggam2/main/main.jsp,,
64,부산광역시 ,공공,주민자치기관,당감제4동 주민센터,부산광역시 부산진구 당감서로 85,051-605-4916,https://jumin.busan.go.kr/dong/danggam4/main/main.jsp,,
65,부산광역시 ,공공,주민자치기관,가야제1동 주민센터,부산광역시 부산진구 가야대로572번길 22,051-605-4919,https://jumin.busan.go.kr/dong/gaya1/main/main.jsp,,
66,부산광역시 ,공공,주민자치기관,가야제2동 주민센터,부산광역시 부산진구 가야공원로40번길 14,051-605-6841,https://jumin.busan.go.kr/dong/gaya2/main/main.jsp,,
67,부산광역시 ,공공,주민자치기관,개금제1동 주민센터,부산광역시 부산진구 가야대로454번길 9,051-605-4920,https://jumin.busan.go.kr/dong/gaegeum1/main/main.jsp,,
68,부산광역시 ,공공,주민자치기관,개금제2동 주민센터,부산광역시 부산진구 복지로 93,051-605-4921,https://jumin.busan.go.kr/dong/gaegeum2/main/main.jsp,,
69,부산광역시 ,공공,주민자치기관,개금제3동 주민센터,부산광역시 부산진구 개금본동로 88,051-605-4922,https://jumin.busan.go.kr/dong/gaegeum3/main/main.jsp,,
70,부산광역시 ,공공,주민자치기관,범천제1동 주민센터,부산광역시 부산진구 범일로192번길 21,051-605-4923,https://jumin.busan.go.kr/dong/beomcheon1/main/main.jsp,,
71,부산광역시 ,공공,주민자치기관,범천제2동 주민센터,부산광역시 부산진구 신암로 48,051-605-4924,https://jumin.busan.go.kr/dong/beomcheon2/main/main.jsp,,
72,부산광역시 ,공공,국가 및 지자체,동래구청,부산광역시 동래구 명륜로94번길 55,051-550-4000,http://www.dongnae.go.kr/,,
73,부산광역시 ,공공,주민자치기관,수민동 주민센터,부산광역시 동래구 온천천로339번길 48,051-550-6301,https://jumin.busan.go.kr/dong/sumin/main/main.jsp,,
74,부산광역시 ,공공,주민자치기관,복산동 주민센터,부산광역시 동래구 복천로 1,051-550-6321,https://jumin.busan.go.kr/dong/boksan/main/main.jsp,,
75,부산광역시 ,공공,주민자치기관,명륜동 주민센터,부산광역시 동래구 명륜로207번길 26,051-550-6361,https://jumin.busan.go.kr/dong/myeongnyun2/main/main.jsp,,
76,부산광역시 ,공공,주민자치기관,온천제1동 주민센터,부산광역시 동래구 금강로 127,051-550-6381,https://jumin.busan.go.kr/dong/oncheon1/main/main.jsp,,
77,부산광역시 ,공공,주민자치기관,온천제2동 주민센터,부산광역시 동래구 충렬대로107번길 28,051-550-6401,https://jumin.busan.go.kr/dong/oncheon2/main/main.jsp,,
